day;time distance;space distance;time;name one;name two
2022/01/31;356.31666666666666;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;372.23333333333335;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;387.6333333333333;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;402.98333333333335;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;418.28333333333336;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;433.5833333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;448.85;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;464.06666666666666;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;479.23333333333335;7;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;337.3833333333333;16;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;40.21666666666667;2;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;25.333333333333332;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;10.316666666666666;2;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;5.1;0;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;20.416666666666668;3;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;35.75;4;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;51.03333333333333;4;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;66.31666666666666;2;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;81.61666666666666;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;96.88333333333334;2;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;112.46666666666667;4;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;127.71666666666667;4;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;142.96666666666667;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;158.28333333333333;12;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;173.68333333333334;11;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;189.08333333333334;14;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;204.28333333333333;14;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;219.2;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;233.96666666666667;0;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;249.18333333333334;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;264.3666666666667;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;279.46666666666664;2;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;294.56666666666666;3;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;310.06666666666666;3;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;325.98333333333335;2;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;341.3833333333333;3;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;356.73333333333335;2;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;372.03333333333336;3;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;387.3333333333333;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;402.6;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;417.81666666666666;1;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;432.98333333333335;6;1900-01-01T13:43:03.000000000;T30;T6
2022/01/31;33.516666666666666;15;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;330.68333333333334;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;345.56666666666666;1;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;360.5833333333333;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;376.0;0;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;391.31666666666666;4;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;406.65;5;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;421.93333333333334;5;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;437.21666666666664;3;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;452.51666666666665;2;1900-01-01T07:32:09.000000000;T30;T6
2022/01/31;467.78333333333336;2;1900-01-01T07:32:09.000000000;T30;T6
