day;time distance;space distance;sex one;sex two;time;name one;name two
1/12/2020;241.0;9;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;230.0;17;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;110.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;105.0;16;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;100.0;9;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;95.0;10;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;75.0;19;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;65.0;18;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;60.0;15;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;55.0;19;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;397.0;15;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;40.0;16;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;55.0;19;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;30.0;18;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;25.0;16;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;20.0;17;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;25.0;17;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;4.0;11;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;6.0;11;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;11.0;11;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;16.0;14;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;21.0;18;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;26.0;14;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;31.0;19;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;41.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;51.0;15;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;56.0;11;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;66.0;18;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;71.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;76.0;17;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;81.0;16;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;230.0;17;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;40.0;17;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;96.0;16;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;101.0;14;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;246.0;15;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;111.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;117.0;12;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;111.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;126.0;12;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;111.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;136.0;12;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;141.0;12;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;26.0;14;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;152.0;12;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;95.0;11;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;26.0;14;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;11.0;11;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;111.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;26.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;6.0;8;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;192.0;10;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;26.0;13;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
